Total Achievement | 37

Day 1
feed  -  먹이를 주다, 먹을 것을 주다 | 2,4,5
accept  -  받아들이다, 인정하다 | 1,1,1
approach  -  접근, 접근하다, 다가오다 | 2,2,3
perform  -  (기술이 필요한 일을) 행하다, 하다 | 1,2,4
attract  -  (주의, 흥미 등을) 끌다, 끌어 당기다, 유혹하다 | 1,1,1
graduate  -  (대학) 졸업자, 졸업하다 | 1,2,2
explain  -  (상세히) ~을 설명하다 | 1,0,0
value  -  가치, 유용성, 진가, 중요하게 여기다 | 1,3,3
reach  -  ~에 도달하다, ~에 이르다 | 3,1,1
consider  -  ~을 ~로 생각하다, 고려하다, 여기다 | 2,2,2
improve  -  개선하다, 향상하다 | 2,5,5
imitate  -  모방하다, 흉내 내다 | 1,3,4
raise  -  기르다, 양육하다 | 3,5,5
spot  -  장소, 지점, 발견하다 | 2,3,3
achieve  -  (일, 목적)을 이루다, 달성하다, 성취하다 | 1,1,2
damage  -  손실, 손해, 손상, ~에 손해를 입히다 | 1,1,1
relax  -  (마음의) 긴장을 풀다, 피로를 풀다, 편히 쉬다 | 3,5,5
urgent  -  긴급한, 절박한, 매우 위급한 | 2,1,1
native  -  원주민, 토착민 | 1,2,2
confident  -  확신하는, 자신감이 있는 | 4,6,6

Day 2
separate  -  분리된, 따로 떨어진, 분리하다 | 0,0,0
personality  -  개성, 성격, 인격 | 1,0,0
material  -  자료, 재료, 물질 | 0,0,0
nervous  -  초조해 하는, 긴장한 | 0,0,0
solar  -  태양의 | 0,1,1
gain  -  (노력하여) 얻다, 획득하다 | 0,0,0
involve  -  관련있다, 연관되다 | 0,0,0
lack  -  부족, 결여, 결핍, 부족하다, ~이 없다 | 0,1,1
limit  -  제한, 한계, 제한하다, 한정하다 | 0,1,1
positive  -  긍정적인 | 1,0,0
prepare  -  준비하다 | 0,0,0
rate  -  율, 비율, 평가하다 | 0,0,0
reduce  -  감소하다, 줄어들다 | 0,1,1
respond  -  반응하다, 응답하다 | 0,0,0
store  -  저장하다, 보관하다 | 0,1,1
unique  -  독특한, 특이한 | 0,0,0
allow  -  ~이 ~하도록 하다, 허용하다, 내버려두다 | 0,0,0
point  -  손가락질하다, 가리키다, 지시하다 | 0,1,1
determine  -  결정하다, 결정짓다, 결심하다 | 0,0,0
